               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.16047,            0.062688,                   0,          0.00044444,           0.0020747,          0.00022704,          2.2704e-05,             0.14675,             0.11611,                   0,              0.0017,              0.0017,              0.0847
                   1,             0.14863,            0.077289,                   0,            0.022705,            0.022822,           0.0064298,           0.0012042,             0.14046,             0.10889,                   0,           0.0034827,           0.0034827,            0.068483
                   2,             0.14242,            0.076704,                   0,            0.056226,             0.09751,            0.024318,           0.0050081,             0.13683,             0.10982,                   0,           0.0052475,           0.0052475,            0.052248
                   3,             0.13836,            0.083692,                   0,             0.10799,             0.19087,            0.060874,            0.013158,              0.1296,             0.11806,                   0,           0.0069946,           0.0069946,            0.035995
                   4,             0.13291,            0.091355,                   0,            0.033818,             0.14108,            0.020258,           0.0043066,             0.13045,             0.13093,                   0,           0.0087238,           0.0087238,            0.019724
                   5,             0.13187,            0.099244,                   0,             0.15815,                0.25,            0.089951,            0.018193,             0.12798,             0.16555,                   0,           0.0097525,           0.0097525,           0.0097525
                   6,             0.13153,             0.13289,                   0,           0.0066774,           0.0082988,           0.0017517,          0.00029914,             0.12598,             0.23669,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,             0.12762,             0.12841,                   0,             0.13963,             0.22614,            0.079997,            0.015041,             0.13334,               0.218,                   0,            0.009703,            0.009703,            0.009703
                   8,             0.12618,             0.11791,                   0,            0.064691,             0.16286,            0.032151,           0.0066839,             0.12465,             0.15729,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,              0.1235,             0.12158,                   0,              0.2375,             0.32158,             0.15834,            0.030702,             0.12807,              0.1875,                   0,            0.009604,            0.009604,            0.009604
                  10,             0.11748,             0.11567,                   0,             0.47763,              0.4668,             0.40056,             0.10176,             0.11308,             0.27533,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,             0.11611,              0.1187,                   0,             0.43815,             0.45539,             0.31548,            0.078946,             0.11496,             0.20008,                   0,            0.009505,            0.009505,            0.009505
